week_start,week_end,Produit,Ville,Prix,Variation,Semaine,Source_File
2025-06-09,2025-06-15,Viande de mouton (1 KG),Cotonou,3500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Viande de mouton (1 KG),Porto-Novo,2800,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Viande de mouton (1 KG),Parakou,3000,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Viande de mouton (1 KG),Natitingou,2500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Viande de mouton (1 KG),Bohicon,3000,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Viande de mouton (1 KG),Lokossa,3000,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz importé ??GINO?? (5 KG),Cotonou,6333,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz importé ??GINO?? (5 KG),Porto-Novo,5500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz importé ??GINO?? (5 KG),Parakou,5933,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz importé ??GINO?? (5 KG),Natitingou,6000,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz importé ??GINO?? (5 KG),Bohicon,6000,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Riz importé ??GINO?? (5 KG),Lokossa,6233,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??JAGO?? (1 KG),Cotonou,1500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
